Time Series,Actual Value,Predicted Value,Accuracy,Average Accuracy
20210101,26312.5,26190.52,99.54,84.79
20210201,25187.5,26190.52,96.02,
20210301,25000.0,25924.44,96.3,
20210401,25000.0,26190.52,95.24,
20210501,24750.0,23370.15,94.42,
20210601,23300.0,26190.52,87.59,
20210701,23000.0,26190.52,86.13,
20210801,22875.0,27437.5,80.05,
20210901,26350.0,27437.5,95.87,
20211001,27312.5,25073.01,91.8,
20211101,23750.0,28510.48,79.96,
20211201,22750.0,27437.5,79.4,
20220101,21375.0,27437.5,71.64,
20220201,22437.5,27437.5,77.72,
20220301,23000.0,23370.15,98.39,
20220401,22500.0,25073.01,88.56,
20220501,22500.0,27437.5,78.06,
20220601,22900.0,28510.48,75.5,
20220701,29562.5,28510.48,96.44,
20220801,43250.0,33000.0,76.3,
20220901,48187.5,40000.0,83.01,
20221001,53062.5,44355.77,83.59,
20221101,50600.0,64904.01,71.73,
20221201,46625.0,40159.3,86.13,
20230101,45750.0,50875.0,88.8,
20230201,57650.0,60000.0,95.92,
20230301,52062.5,64904.01,75.33,
20230401,43875.0,40159.3,91.53,
20230501,44150.0,40000.0,90.6,
20230601,44375.0,40000.0,90.14,
20230701,47062.5,41356.63,87.88,
20230801,49000.0,40159.3,81.96,
20230901,46875.0,64904.01,61.54,
20231001,51250.0,40159.3,78.36,
20231101,50000.0,64904.01,70.19,
20231201,50250.0,64904.01,70.84,
